name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	general_comment	representative	sliding_window	GARD	phylogeography
OR233298.1	Rt22QB78	Rhinolophus thomasi	Vietnam	2022-11-10	10.1111/mec.17486	17.73	105.78		nan	N	N	N	N
OR233299.1	Rt22QB8	Rhinolophus thomasi	Vietnam	2022-11-07	10.1111/mec.17486	17.73	105.78		nan	N	N	N	N
OR233317.1	Rt22QT178	Rhinolophus thomasi	Vietnam	2022-11-05	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233316.1	Rt22QT161	Rhinolophus thomasi	Vietnam	2022-11-05	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233328.1	Ra22QT137	Rhinolophus affinis	Vietnam	2022-11-04	10.1111/mec.17486	16.72	106.7		nan	N	Y	N	N
OR233300.1	Rt22QT124	Rhinolophus thomasi	Vietnam	2022-11-04	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233323.1	Ra22QT135	Rhinolophus affinis	Vietnam	2022-11-04	10.1111/mec.17486	16.72	106.7		nan	N	Y	Y	Y
OR233324.1	Ra22QT77	Rhinolophus affinis	Vietnam	2022-11-03	10.1111/mec.17486	16.72	106.7		nan	Y	Y	N	Y
OR233322.1	Ra22QT106	Rhinolophus affinis	Vietnam	2022-11-03	10.1111/mec.17486	16.72	106.7		nan	N	Y	N	N
OR233319.1	Rt22QT46	Rhinolophus thomasi	Vietnam	2022-11-02	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233320.1	Rt22QT48	Rhinolophus thomasi	Vietnam	2022-11-02	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233321.1	Rt22QT53	Rhinolophus thomasi	Vietnam	2022-11-02	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233318.1	Rt22QT36	Rhinolophus thomasi	Vietnam	2022-11-01	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233315.1	Ra22QT27	Rhinolophus affinis	Vietnam	2022-11-01	10.1111/mec.17486	16.72	106.7		nan	N	N	N	N
OR233311.1	Rt22SL130	Rhinolophus thomasi	Vietnam	2022-07-04	10.1111/mec.17486	20.87	104.71		nan	N	N	N	N
