Summary Statistic	R637_NRR1.age(R637_RacCS203)	R637_NRR2.age(R637_BANAL103)	R637_NRR3.age(R637_RpYN06)	R637_NRR4.age(R637_RacCS203)	R637_NRR5.age(R637_RacCS203)	R637_NRR6.age(R637_RacCS203)	R637_NRR7.age(R637_BANAL103)	R637_NRR8.age(R637_BANAL52)	R637_NRR9.age(R637_RaTG13)	R637_NRR10.age(R637_Ra22QT77)	R637_NRR11.age(R637_BANAL52)	R637_NRR12.age(R637_RacCS203)	R637_NRR13.age(R637_RacCS203)	R637_NRR14.age(R637_BANAL103)	R637_NRR15.age(R637_RacCS203)	R637_NRR16.age(R637_Ra22QT77)	R637_NRR17.age(R637_RacCS203)	R637_NRR18.age(R637_RacCS203)	R637_NRR19.age(R637_RacCS203)	R637_NRR20.age(R637_BANAL52)	R637_NRR21.age(R637_BANAL103)	R637_NRR22.age(R637_BANAL103)	R637_NRR23.age(R637_BANAL103)	R637_NRR24.age(R637_BANAL103)	R637_NRR25.age(R637_BANAL103)	R637_NRR26.age(R637_RpYN06)	R637_NRR27.age(R637_RacCS203)	R637_NRR28.age(R637_Ra22QT77)	R637_NRR29.age(R637_Ra22QT77)	R637_NRR30.age(R637_RacCS203)	R637_NRR31.age(R637_RacCS203)	R637_NRR32.age(R637_RaTG13)
mean	1963.2043	1941.7967	1986.3025	2001.804	1975.0883	1972.4871	2003.1763	1996.1231	1935.2096	1934.245	1997.1764	1967.9269	1914.7991	1866.4811	1974.3453	1891.6297	1893.2595	1923.2184	1956.8331	1975.0315	1944.6289	1975.6822	2008.3735	1955.2805	1959.4456	1955.879	1957.0995	1970.865	1915.9739	1950.8053	1934.4525	1966.8127
stderr of mean	0.4005	0.3676	0.2395	0.2645	0.2102	0.3303	0.1964	0.167	1.0469	0.5786	0.194	0.2228	1.1124	1.0023	0.4202	0.7318	1.3588	1.0323	0.5312	0.3471	0.4895	0.5608	0.3448	0.5191	0.4684	0.4838	0.3422	0.4277	0.9331	0.3757	0.5175	0.5043
stdev	14.8114	13.5433	7.3614	4.9154	9.688	13.5558	6.2844	7.4582	19.3151	11.9328	8.433	6.3576	27.5543	31.254	9.7642	24.4002	28.6321	33.4884	12.5488	10.7027	24.1915	10.6978	5.4078	12.0085	12.9682	14.453	16.2649	11.8727	20.384	16.0137	19.1833	11.2982
variance	219.3781	183.4201	54.1905	24.1609	93.8575	183.7609	39.4933	55.6249	373.0749	142.3925	71.1163	40.4196	759.2401	976.8108	95.3394	595.3696	819.7955	1121.4717	157.4731	114.548	585.2305	114.4434	29.2441	144.2043	168.1743	208.8893	264.5481	140.9621	415.5074	256.4391	367.9979	127.65
median	1965.3143	1943.3362	1986.3782	2002.9515	1976.389	1974.8351	2004.2524	1997.0205	1935.5104	1935.7567	1998.7557	1968.5736	1917.7821	1869.3556	1975.3674	1893.8525	1896.8922	1929.1114	1957.7544	1976.4313	1948.2024	1976.9661	2009.1221	1956.1758	1960.3107	1957.5987	1958.8065	1972.9746	1918.2581	1952.4902	1936.5757	1967.8979
value range	[1879.6898, 2004.2988]	[1850.4906, 1982.7417]	[1953.6777, 2010.2096]	[1966.0258, 2013.4354]	[1910.2364, 2009.5841]	[1893.4444, 2006.8362]	[1969.9054, 2016.7372]	[1956.1977, 2013.2351]	[1843.2012, 1987.6879]	[1868.5471, 1970.0227]	[1949.3114, 2015.307]	[1929.5486, 1991.3867]	[1736.4665, 1981.5882]	[1672.3691, 1952.5021]	[1921.8769, 2007.9352]	[1748.9209, 1959.9171]	[1735.2073, 1973.8516]	[1743.9145, 1990.3888]	[1883.3552, 1993.4165]	[1919.9158, 2006.6583]	[1697.938, 2006.0551]	[1910.0414, 2006.4134]	[1963.7826, 2018.826]	[1903.0809, 1993.7827]	[1895.7816, 1994.3656]	[1880.8031, 1991.6405]	[1869.3129, 2002.52]	[1902.8637, 2000.4616]	[1793.9372, 1982.494]	[1865.0128, 1994.8303]	[1785.9794, 1982.3949]	[1896.3074, 1999.167]
geometric mean	1963.1482	1941.7493	1986.2889	2001.798	1975.0645	1972.4404	2003.1665	1996.1091	1935.1131	1934.2081	1997.1585	1967.9167	1914.5996	1866.2175	1974.3211	1891.4716	1893.0414	1922.9237	1956.7928	1975.0025	1944.4769	1975.6531	2008.3662	1955.2436	1959.4026	1955.8254	1957.0317	1970.8291	1915.865	1950.7393	1934.3568	1966.7802
95% HPD interval	[1931.5897, 1987.6551]	[1915.3346, 1967.5652]	[1972.5055, 2000.2436]	[1991.8038, 2009.924]	[1955.1529, 1994.0501]	[1945.2083, 1995.9316]	[1990.2654, 2013.8403]	[1980.4702, 2008.0736]	[1899.8343, 1974.2206]	[1910.4516, 1956.103]	[1979.413, 2009.857]	[1955.0009, 1979.2105]	[1858.4145, 1963.9154]	[1802.1433, 1921.5877]	[1953.9558, 1993.1292]	[1843.8454, 1936.4124]	[1836.2611, 1941.8806]	[1856.5876, 1976.8236]	[1932.2987, 1980.2128]	[1952.7719, 1994.8294]	[1896.1002, 1984.9451]	[1953.4181, 1996.7603]	[1998.216, 2017.1318]	[1930.9711, 1978.1905]	[1933.8242, 1982.0205]	[1929.0578, 1982.2653]	[1923.1855, 1982.9804]	[1946.2608, 1991.9104]	[1875.8894, 1954.7437]	[1919.7826, 1980.0133]	[1896.6174, 1968.2464]	[1943.1512, 1985.9615]
auto-correlation time (ACT)	1.0239E6	1.0315E6	1.4827E6	4.0545E6	6.5909E5	8.3156E5	1.367E6	7.0213E5	4.1136E6	3.2919E6	7.4094E5	1.7196E6	2.2824E6	1.4402E6	2.5928E6	1.2594E6	3.1538E6	1.3307E6	2.5092E6	1.4727E6	5.7342E5	3.8487E6	5.6913E6	2.6163E6	1.8269E6	1.5692E6	6.1969E5	1.8169E6	2.9343E6	7.7075E5	1.019E6	2.7894E6
effective sample size (ESS)	1367.5	1357.4	944.3	345.3	2124.5	1683.8	1024.3	1994.2	340.4	425.3	1889.7	814.3	613.5	972.2	540	1111.8	444	1052.2	558	950.7	2441.9	363.8	246	535.2	766.4	892.3	2259.5	770.6	477.2	1816.7	1374.1	502
number of samples	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002	14002
