Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 1,OP963576.1,Recombinant, 20.5280778749428, 20, 10, 10, 10, 0, 8, 18, 8, 8, 8.51421549332144, 0, 4, 2, 20, 5, 5, 15,
 1,EPI_ISL_852604,MajorParent, 9.47192212505717, 10, 10, 5, 0, 10, 0, 0, 4, 4, 6.22941176542001, 3.92156862745098E-02, 0, 1, 20, 0, 0, 20,
 1,KJ473815.1,MinorParent, 0, 0, 0, 0, 5, 0, 4, 14, 0, 0, 5.25637274125855, 0, 2, 0, 0, 2.5, 5, 0,
 4,MW703458.1,Recombinant, 13.2631947926678, 20, 1, 10, 0, 10, 8, 18, 8, 0, 5.94774662484538, 7.57575757575758E-02, 4, 1, 10, 0, 0, 15,
 4,EPI_ISL_412977,MajorParent, 12.0554819875857, 20, 1, 5, 5, 0, 0, 0, 4, 4, 7.56869037275304, 1.06060606060606, 0, 2, 20, 5, 5, 20,
 4,MG772933.1,MinorParent, 4.68132321974649, 0, 1, 0, 10, 0, 4, 14, 0, 8, 6.48356300240158, 0, 2, 0, 0, 2.5, 0, 0,
 5,MW703458.1,Recombinant, 21.1245929837251, 20, 10, 10, 10, 10, 8, 18, 8, 8, 11.5807427631096, 0, 2, 2, 20, 5, 0, 15,
 5,MN908947.3,MajorParent, 8.61355955492363, 10, 10, 5, 5, 0, 4, 14, 4, 4, 4.41237555570632, 0, 0, 1, 10, 2.5, 0, 20,
 5,OR233299.1,MinorParent, .261847461351303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00688168118413, 0, 4, 0, 0, 0, 0, 0,
 6,OK017841.1,Recombinant, 14.3314481349322, 10, 5, 10, 0, 10, 8, 18, 8, 8, 6.40989981294028, .676691729323308, 4, 1, 10, 2.5, 5, 20,
 6,KF294457.1,MajorParent, 6.93074591119895, 20, 10, 0, 10, 0, 0, 0, 0, 4, 6.72657372453673, 6.12781954887218, 0, 0, 20, 0, 0, 0,
 6,OK017842.1,MinorParent, 8.73780595386886, 0, 0, 5, 5, 0, 4, 14, 4, 0, 6.86352646252299, 0, 2, 2, 0, 5, 5, 15,
 7,OK017814.1,Recombinant, 19.537519430687, 20, 10, 10, 5, 0, 4, 14, 8, 4, 7.6932639294117, .599250936329588, 0, 2, 20, 5, 5, 0,
 7,OQ503495.1,MajorParent, 4.66273469873373, 0, 0, 0, 10, 0, 0, 0, 0, 8, 6.33855309594616, 3.22097378277154, 4, 0, 20, 0, 0, 15,
 7,OK017841.1,MinorParent, 5.79974587057932, 0, 5, 5, 0, 10, 8, 18, 4, 0, 5.96818297464214, 0, 2, 1, 0, 2.5, 5, 20,
 8,OK017842.1,Recombinant, 22.4432377564622, 20, 10, 10, 10, 5, 8, 18, 8, 8, 7.31778397593691, .62962962962963, 4, 2, 20, 5, 5, 20,
 8,OK017843.1,MajorParent, 6.76607446862864, 10, 5, 5, 0, 5, 4, 14, 4, 4, 6.92029770037116, 0, 0, 1, 20, 2.5, 0, 0,
 8,GQ153545.1,MinorParent, .790687774909195, 0, 0, 0, 5, 5, 0, 0, 0, 0, 5.76191832369193, 0, 2, 0, 0, 0, 0, 15,
 9,OK017840.1,Recombinant, 18.7788414649924, 20, 10, 5, 10, 10, 8, 18, 4, 8, 7.10524086967316, 0, 2, 1, 20, 2.5, 0, 20,
 9,OK017839.1,MajorParent, 7.77021750973441, 0, 0, 10, 0, 0, 4, 14, 8, 4, 6.86770772380427, 0, 0, 2, 0, 5, 5, 15,
 9,KF294457.1,MinorParent, 3.45094102527316, 10, 5, 0, 5, 0, 0, 0, 0, 0, 6.02705140652257, 0, 4, 0, 10, 0, 0, 0,
 10,OR233302.1,Recombinant, 15.6378775801732, 0, 5, 5, 10, 10, 8, 18, 8, 8, 6.40551864867123, 0, 4, 1, 20, 2.5, 0, 20,
 10,OK017806.1,MajorParent, 11.432477038377, 20, 10, 10, 5, 0, 4, 14, 4, 4, 7.32340342033828, 0, 0, 2, 0, 5, 0, 0,
 10,OK017805.1,MinorParent, 2.92964538144979, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6.2710779309905, 0, 2, 0, 0, 0, 0, 15,
 11,OK017819.1,Recombinant, 12.323128321931, 0, 0, 10, 10, 10, 8, 18, 8, 8, 7.59505998470329, 0, 0, 2, 0, 5, 5, 0,
 11,OK017845.1,MajorParent, 5.67627451133815, 10, 5, 0, 0, 0, 0, 0, 0, 4, 6.09977452307503, 0, 4, 0, 10, 0, 0, 15,
 11,KF294457.1,MinorParent, 12.0005971667308, 20, 10, 5, 5, 0, 4, 14, 4, 0, 6.30516549222168, .693430656934307, 2, 1, 20, 2.5, 0, 20,
 12,KJ473815.1,Recombinant, 19.2725457747707, 20, 0, 10, 10, 0, 8, 18, 8, 8, 6.58661132714839, 0, 0, 1, 20, 5, 5, 0,
 12,KF294457.1,MajorParent, 4.23265778287748, 10, 10, 0, 0, 10, 0, 0, 0, 4, 6.55806018376106, 5.14492753623188, 4, 0, 10, 0, 0, 20,
 12,MK211376.1,MinorParent, 6.49479644235187, 0, 5, 5, 5, 0, 4, 14, 4, 0, 6.85532848909055, 0, 2, 2, 0, 2.5, 5, 15,
 15,OK017843.1,Recombinant, 22.2043920679791, 20, 5, 10, 10, 0, 8, 18, 8, 8, 8.42338912190617, 0, 4, 2, 20, 2.5, 5, 20,
 15,KF294457.1,MajorParent, 7.79560793202095, 10, 10, 5, 5, 0, 4, 14, 4, 4, 5.83967216786082, 4.75177304964539, 0, 0, 10, 0, 0, 15,
